DATE,AWND,DAPR,DASF,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WESF,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT16,WT18
9/17/1920,,,,,,,,0,0,0,,88,40,,,,,,,,,,,,,,,,,,,,
9/18/1920,,,,,,,,0,0,0,,86,45,,,,,,,,,,,,,,,,,,,,
9/19/1920,,,,,,,,0.07,0,0,,80,42,,,,,,,,,,,,,,,,,,,,
9/20/1920,,,,,,,,0.08,0,0,,74,40,,,,,,,,,,,,,,,,,,,,
9/21/1920,,,,,,,,0.03,0,0,,61,45,,,,,,,,,,,,,,,,,,,,
9/22/1920,,,,,,,,0.07,0,0,,62,42,,,,,,,,,,,,,,,,,,,,
9/23/1920,,,,,,,,0,0,0,,61,40,,,,,,,,,,,,,,,,,,,,
9/24/1920,,,,,,,,0,0,0,,64,38,,,,,,,,,,,,,,,,,,,,
9/25/1920,,,,,,,,0,0,0,,63,36,,,,,,,,,,,,,,,,,,,,
9/26/1920,,,,,,,,0,0,0,,65,36,,,,,,,,,,,,,,,,,,,,
9/27/1920,,,,,,,,0,0,0,,71,51,,,,,,,,,,,,,,,,,,,,
9/28/1920,,,,,,,,0,0,0,,77,35,,,,,,,,,,,,,,,,,,,,
9/29/1920,,,,,,,,0,0,0,,79,35,,,,,,,,,,,,,,,,,,,,
9/30/1920,,,,,,,,0,0,0,,81,38,,,,,,,,,,,,,,,,,,,,
10/1/1920,,,,,,,,0.32,0,0,,64,40,,,,,,,,,,,,,,,,,,,,
10/2/1920,,,,,,,,0,0,0,,63,38,,,,,,,,,,,,,,,,,,,,
10/3/1920,,,,,,,,0,0,0,,74,41,,,,,,,,,,,,,,,,,,,,
10/4/1920,,,,,,,,0.22,0,0,,75,40,,,,,,,,,,,,,,,,,,,,
10/5/1920,,,,,,,,0,0,0,,70,38,,,,,,,,,,,,,,,,,,,,
10/6/1920,,,,,,,,0,0,0,,69,42,,,,,,,,,,,,,,,,,,,,
10/7/1920,,,,,,,,0,0,0,,72,40,,,,,,,,,,,,,,,,,,,,
10/8/1920,,,,,,,,0,0,0,,73,37,,,,,,,,,,,,,,,,,,,,
10/9/1920,,,,,,,,0,0,0,,77,35,,,,,,,,,,,,,,,,,,,,
10/10/1920,,,,,,,,0,0,0,,72,34,,,,,,,,,,,,,,,,,,,,
10/11/1920,,,,,,,,0.04,0,0,,68,36,,,,,,,,,,,,,,,,,,,,
10/12/1920,,,,,,,,0,0,0,,62,34,,,,,,,,,,,,,,,,,,,,
10/13/1920,,,,,,,,0,0,0,,60,30,,,,,,,,,,,,,,,,,,,,
10/14/1920,,,,,,,,0,0,0,,55,40,,,,,,,,,,,,,,,,,,,,
